Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 1) Apure	-66.9233195807 10.4492860916,-66.923285874 10.4493358087,-66.9232758158 10.4493615266,-66.9232047372 10.4493391059,-66.9231645041 10.4494221943,-66.9231095188 10.4493971359,-66.9231363409 10.4493034966,-66.9232099917 10.4492749165,-66.9231778052 10.4492663439,-66.9231516537 10.4492590901,-66.9231275138 10.4492505175,-66.9231053856 10.4492439232,-66.9230819163 10.4492353506,-66.9230591175 10.4492280968	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 1) Anzoategui	-66.9233195807 10.4492860916,-66.9234551438 10.4491180864,-66.9233766892 10.449082477,-66.9234310039 10.4489960914,-66.9234619491 10.448964212,-66.9234317742 10.4489487153,-66.9234093107 10.4489417913,-66.9233687423 10.448939813,-66.9233399086 10.4489391536,-66.9233127512 10.4489286026,-66.9232865997 10.4489183814	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 3 (OLT 1) Isla Grande	-66.9241726804 10.4490604406,-66.924311407 10.4491299343,-66.9242456928 10.4491998341,-66.9242794941 10.4492128923,-66.9243972377 10.4492314868,-66.9245340303 10.4492736904,-66.9245160804 10.4493014903,-66.9244589285 10.4494042579,-66.9244817272 10.4495453762,-66.9245158718 10.4495612619,-66.9246372954 10.4495823043,-66.9247647003 10.4495928552,-66.9247711668 10.4496085607,-66.9248156623 10.4497840902,-66.9248180575 10.4498637309,-66.9246374901 10.4500206157	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 1) Nueva Esparta	-66.9239694039 10.4509323812,-66.9240732234 10.4509239894,-66.924055169 10.450877682,-66.9240390757 10.4508552615,-66.9240263352 10.4508381163,-66.9240142653 10.4508216306,-66.924004207 10.4508058043,-66.9239928076 10.450794594,-66.9239800671 10.45077613	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 4 (OLT 1) Monagas	-66.9239694039 10.4509323812,-66.9240805359 10.450925313,-66.924226381 10.4508418953,-66.9242806957 10.4507789199,-66.9242671663 10.4507723618,-66.9242530847 10.4507532384,-66.9242410148 10.4507387309,-66.9242299507 10.4507252126,-66.924218216 10.4507087269,-66.9242044697 10.4506929006,-66.9241937409 10.4506754258	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Caobo 551	-66.924199245 10.4514390582,-66.9242097341 10.4513516828,-66.924304282 10.4512982691,-66.9242834948 10.4512494715,-66.9242238157 10.4512237538,-66.9241131746 10.4512751892,-66.9240608715 10.4512666166,-66.9239743702 10.4511789128,-66.9241614543 10.45108989,-66.9242651818 10.4510899915	ff11ff00	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Caobo 5513	-66.924199245 10.4514390582,-66.924203603 10.4513518062,-66.9242968097 10.4512957549,-66.9242807165 10.4512542109,-66.9242237195 10.4512317904,-66.9241231367 10.4512819069,-66.9240601048 10.4512581675,-66.9239850029 10.4511796956,-66.9241606876 10.4510959483,-66.9242686465 10.4510827597,-66.9243215082 10.4510636144	ff11ff00	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Saman	-66.924199245 10.4514390582,-66.9241995797 10.451353125,-66.924293457 10.4512917983,-66.9242787048 10.4512561892,-66.9242270723 10.4512370658,-66.9241673931 10.4512667401,-66.9241530273 10.451230014	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Seiba	-66.924199245 10.4514390582,-66.9242196962 10.4513572524,-66.9243283257 10.4513499987,-66.92435783 10.4513460421,-66.9244425952 10.4513508467,-66.9245847523 10.4513495278	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
Distribuicion PON 1 (OLT 2) Araguaney	-66.924199245 10.4514390582,-66.9242099136 10.4516179146,-66.9242313713 10.4517372708	ff00ff37	__export__.isp_zone_8_d70ed9f2	cable
