node_id.code	ELEMENTO	NODO	N. DE TRUNK	TIPO DE CABLE	CANT. DE HILOS	CANT.  BUFFER	N. DE BUFFER	N. DE DISTRIBUCION	N. DE MANGA	N. DE ELEMENTO	EDIFICIO/ZONA	LINK	CORRELATIVO	GEOLOCALIZACION	LATITUD	LONGITUD	1693	OLT	PUERTO	ODF Y PUERTO	NOTAS			
																							COCHE	COCH
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	14	PALMA LINDA		3914	GPS	10.514915516872172, 	-66.9088067367202	NAP BRISAVILA 1.24.4.1.3.9.14 PALMA LINDA	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	NO INSTALADA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	9	15	APOYO 426		3915	GPS			NAP BRISAVILA 1.24.4.1.3.9.15 APOYO 426	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	NO INSTALADA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	3	2	16	APOYO		3216	GPS			NAP BRISAVILA 1.24.4.1.3.2.16 APOYO	OLT 1 (4 PUERTOS)	PON 3	ODF 1 PUERTO 3	NO INSTALADA			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	1	SAN JOSE	LINK	421	GPS	10.5122257823767	-66.9092616267798	NAP BRISAVILA 1.24.4.1.4.2.1 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	2	SAN JOSE		422	GPS	10.5125516310305	-66.9092021816023	NAP BRISAVILA 1.24.4.1.4.2.2 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	3	SAN JOSE		423	GPS	10.5127368140665	-66.9087131754603	NAP BRISAVILA 1.24.4.1.4.2.3 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	4	SAN JOSE		424	GPS	10.5128652844576	-66.9096613355936	NAP BRISAVILA 1.24.4.1.4.2.4 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	5	SAN JOSE		425	GPS	10.5134120183678	-66.9090316658411	NAP BRISAVILA 1.24.4.1.4.2.5 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	6	SAN JOSE		426	GPS	10.5140477570928	-66.9090318421043	NAP BRISAVILA 1.24.4.1.4.2.6 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	7	SAN JOSE		427	GPS	10.5141346499859	-66.9095313827803	NAP BRISAVILA 1.24.4.1.4.2.7 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	8	SAN JOSE		428	GPS	10.5138573470905	-66.9099434095728	NAP BRISAVILA 1.24.4.1.4.2.8 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	9	SAN JOSE		429	GPS	10.5142962348843	-66.9103977872851	NAP BRISAVILA 1.24.4.1.4.2.9 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	10	SAN JOSE		4210	GPS	10.5146054946419	-66.9098375856096	NAP BRISAVILA 1.24.4.1.4.2.10 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	11	SAN JOSE		4211	GPS	10.5154925147832	-66.9096711700587	NAP BRISAVILA 1.24.4.1.4.2.11 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	12	SAN JOSE		4212	GPS	10.5158381115087	-66.9088903345797	NAP BRISAVILA 1.24.4.1.4.2.12 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	13	SAN JOSE		4213	GPS	10.5153026597265	-66.9087023004344	NAP BRISAVILA 1.24.4.1.4.2.13 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	14	SAN JOSE		4214	GPS	10.5149888870925	-66.908757199565	NAP BRISAVILA 1.24.4.1.4.2.14 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	15	SAN JOSE		4215	GPS	10.5160650966722	-66.9095263758237	NAP BRISAVILA 1.24.4.1.4.2.15 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	EN POSTE			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	4	2	16	SAN JOSE		4216	GPS	10.5126797037372	-66.9084014793206	NAP BRISAVILA 1.24.4.1.4.2.16 SAN JOSE	OLT 1 (4 PUERTOS)	PON 4	ODF 1 PUERTO 4	CAJA EN PARTE POSTERIOR			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	1	LAS BRISAS A	LINK	531	GPS	10.5141274349458	-66.9086544128992	NAP BRISAVILA 1.24.4.1.5.3.1 LAS BRISAS A	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 3			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	2	LAS BRISAS A		532	GPS	10.5141274349458	-66.9086544128992	NAP BRISAVILA 1.24.4.1.5.3.2 LAS BRISAS A	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 9			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	3	LAS BRISAS A		533	GPS	10.5141274349458	-66.9086544128992	NAP BRISAVILA 1.24.4.1.5.3.3 LAS BRISAS A	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 15			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	4	LAS BRISAS A		534	GPS	10.5141274349458	-66.9086544128992	NAP BRISAVILA 1.24.4.1.5.3.4 LAS BRISAS A	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 21			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	5	LAS BRISAS B		535	GPS	10.5143845989478	-66.9087724314964	NAP BRISAVILA 1.24.4.1.5.3.5 LAS BRISAS B	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 3			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	6	LAS BRISAS B		536	GPS	10.5143845989478	-66.9087724314964	NAP BRISAVILA 1.24.4.1.5.3.6 LAS BRISAS B	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 9			
BSVL	NAP	Brisavila	1	ADSS	24	4	1	5	3	7	LAS BRISAS B		537	GPS	10.5143845989478	-66.9087724314964	NAP BRISAVILA 1.24.4.1.5.3.7 LAS BRISAS B	OLT 2 (16 PUERTOS)	PON 1	ODF 1 PUERTO 5	PISO 15			
