,ELEMENTO,NODO,N. DE TRUNK,TIPO DE CABLE,CANT. DE HILOS,CANT.  BUFFER,N. DE BUFFER,N. DE DISTRIBUCION,N. DE MANGA,N. DE ELEMENTO,EDIFICIO/ZONA,LINK,CORRELATIVO,GEOLOCALIZACION,LATITUD,LONGITUD,1693,OLT,PUERTO,ODF Y PUERTO,NOTAS
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,4,EDIFICIO 2-9,,394,GPS,10.513105651647006,-66.90758883649958,NAP BRISAVILA 1.24.4.1.3.9.4 EDIFICIO 2-9,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,5,SAN ALFONZO,,395,GPS,10.511811190642492,-66.90919768317806,NAP BRISAVILA 1.24.4.1.3.9.5 SAN ALFONZO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 3,PISO 1
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,6,SAN ALFONZO,,396,GPS,10.511811190642492,-66.90919768317806,NAP BRISAVILA 1.24.4.1.3.9.6 SAN ALFONZO,OLT 1 (4 PUERTOS),PON 2,ODF 1 PUERTO 3,PISO 1
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,7,PRIMAVERA,,397,GPS,10.511756843591481,-66.90921872550685,NAP BRISAVILA 1.24.4.1.3.9.7 PRIMAVERA,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,8,VILLA ROSA,,398,GPS,10.513524175792814,-66.90906319386877,NAP BRISAVILA 1.24.4.1.3.9.8 VILLA ROSA,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,PISO 2
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,9,VILLA ROSA,,399,GPS,10.513524175792814,-66.90906319386877,NAP BRISAVILA 1.24.4.1.3.9.9 VILLA ROSA,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,PISO 6
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,10,LOURDES,,3910,GPS,10.512719225214964,-66.90864196704725,NAP BRISAVILA 1.24.4.1.3.9.10 LOURDES,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,AZOTEA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,11,EDIF. 105,,3911,GPS,10.512161838709595,-66.90934262557374,NAP BRISAVILA 1.24.4.1.3.9.11 EDIF. 105,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,ENTRADA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,12,EDIF 65,,3912,GPS,10.512036362097883,-66.90939725167624,NAP BRISAVILA 1.24.4.1.3.9.12 EDIF 65,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,13,PALMA LINDA,,3913,GPS,"10.514915516872172, ",-66.90880673672021,NAP BRISAVILA 1.24.4.1.3.9.13 PALMA LINDA,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,14,PALMA LINDA,,3914,GPS,"10.514915516872172, ",-66.90880673672021,NAP BRISAVILA 1.24.4.1.3.9.14 PALMA LINDA,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,9,15,APOYO 426,,3915,GPS,,,NAP BRISAVILA 1.24.4.1.3.9.15 APOYO 426,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,3,2,16,APOYO,,3216,GPS,,,NAP BRISAVILA 1.24.4.1.3.2.16 APOYO,OLT 1 (4 PUERTOS),PON 3,ODF 1 PUERTO 3,NO INSTALADA
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,1,SAN JOSE,LINK,421,GPS,10.512225782376715,-66.90926162677981,NAP BRISAVILA 1.24.4.1.4.2.1 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,2,SAN JOSE,,422,GPS,10.512551631030542,-66.90920218160228,NAP BRISAVILA 1.24.4.1.4.2.2 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,3,SAN JOSE,,423,GPS,10.512736814066475,-66.90871317546029,NAP BRISAVILA 1.24.4.1.4.2.3 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,4,SAN JOSE,,424,GPS,10.512865284457586,-66.90966133559363,NAP BRISAVILA 1.24.4.1.4.2.4 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,5,SAN JOSE,,425,GPS,10.513412018367847,-66.90903166584114,NAP BRISAVILA 1.24.4.1.4.2.5 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,6,SAN JOSE,,426,GPS,10.51404775709277,-66.90903184210434,NAP BRISAVILA 1.24.4.1.4.2.6 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,7,SAN JOSE,,427,GPS,10.514134649985904,-66.90953138278027,NAP BRISAVILA 1.24.4.1.4.2.7 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,8,SAN JOSE,,428,GPS,10.51385734709054,-66.90994340957276,NAP BRISAVILA 1.24.4.1.4.2.8 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,9,SAN JOSE,,429,GPS,10.51429623488427,-66.91039778728509,NAP BRISAVILA 1.24.4.1.4.2.9 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,10,SAN JOSE,,4210,GPS,10.514605494641858,-66.90983758560955,NAP BRISAVILA 1.24.4.1.4.2.10 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
,NAP,BRISAVILA,1,ADSS,24,4,1,4,2,11,SAN JOSE,,4211,GPS,10.515492514783231,-66.90967117005866,NAP BRISAVILA 1.24.4.1.4.2.11 SAN JOSE,OLT 1 (4 PUERTOS),PON 4,ODF 1 PUERTO 4,EN POSTE
