"Nombre de campo","Etiqueta de campo","Modelo","Tipo de campo","Tipo","Indexado","Almacenado","Sólo lectura","Modelo relacionado"
"links_payment","Links De Pago","Contratos ISP","html","Campo base","","True","",""
"links_payment_pp","Links De Pago WPP","Contratos ISP","Carácter","Campo base","","True","",""
"mac_address_onu","MAC Address Onu","Contratos ISP","Carácter","Campo base","","True","",""
"mac_learn","MAC Learn","Contratos ISP","Selección","Campo base","","True","",""
"mask_network","Mask Pùblica","Contratos ISP","Carácter","Campo base","","True","",""
"material_process","¿Sin egreso de materiales?","Contratos ISP","booleano","Campo base","","True","",""
"message_attachment_count","Attachment Count","Contratos ISP","entero","Campo base","","","True",""
"message_follower_ids","Followers","Contratos ISP","one2many","Campo base","","True","","mail.followers"
"message_has_error","Message Delivery error","Contratos ISP","booleano","Campo base","","","True",""
"message_has_error_counter","Number of errors","Contratos ISP","entero","Campo base","","","True",""
"message_has_sms_error","SMS Delivery error","Contratos ISP","booleano","Campo base","","","True",""
"message_ids","Messages","Contratos ISP","one2many","Campo base","","True","","mail.message"
"message_is_follower","Is Follower","Contratos ISP","booleano","Campo base","","","True",""
"message_main_attachment_id","Main Attachment","Contratos ISP","many2one","Campo base","True","True","","ir.attachment"
"message_needaction","Action Needed","Contratos ISP","booleano","Campo base","","","True",""
"message_needaction_counter","Number of Actions","Contratos ISP","entero","Campo base","","","True",""
"message_partner_ids","Followers (Partners)","Contratos ISP","many2many","Campo base","","","True","res.partner"
"message_script","Mensaje Script","Contratos ISP","Carácter","Campo base","","True","",""
"message_unread","Unread Messages","Contratos ISP","booleano","Campo base","","","True",""
"message_unread_counter","Unread Messages Counter","Contratos ISP","entero","Campo base","","","True",""
"message_wp_count","WhatsApp","Contratos ISP","entero","Campo base","","","True",""
"model_antena","Modelo Antena","Contratos ISP","Carácter","Campo base","","True","True",""
"model_bridge","Modelo Router","Contratos ISP","Carácter","Campo base","","True","True",""
"model_onu","Modelo ONU","Contratos ISP","Carácter","Campo base","","True","True",""
"model_router_wifi","Modelo Router Inal.","Contratos ISP","Carácter","Campo base","","True","True",""
"months_paid","Meses Cobrados","Contratos ISP","Carácter","Campo base","","True","",""
"mtu","MTU","Contratos ISP","Carácter","Campo base","","True","",""
"multi_currency","Multi Currency","Contratos ISP","booleano","Campo base","","True","True",""
"my_activity_date_deadline","My Activity Deadline","Contratos ISP","fecha","Campo base","","","True",""
"nacionalidad","Nacionalidad ","Contratos ISP","Selección","Campo base","","True","",""
"name","Código","Contratos ISP","Carácter","Campo base","True","True","True",""
"name_account","Dueño Cuenta","Contratos ISP","Carácter","Campo base","","True","True",""
"new_ip_address_id","IP Objeto","Contratos ISP","many2one","Campo base","","True","True","pool.ip.address"
"new_ip_address_tr69_id","IP Objeto TR-069","Contratos ISP","many2one","Campo base","","True","","isp.ip.address"
"node__iptv_id","Nodo","Contratos ISP","many2one","Campo base","","","True","isp.node"
"node_id","Nodo","Contratos ISP","many2one","Campo base","","True","True","isp.node"
"number_reconnections","# Reconexiones","Contratos ISP","entero","Campo base","","True","",""
"olt_brand_description","Descripcion","Contratos ISP","texto","Campo base","","","True",""
"olt_card_id","Tarjeta OLT","Contratos ISP","many2one","Campo base","","True","True","isp.olt.card"
"olt_id","Equipo OLT","Contratos ISP","many2one","Campo base","","True","True","isp.olt"
"olt_port_id","Puerto OLT","Contratos ISP","many2one","Campo base","","True","True","isp.olt.card.port"
"onu_cards","Tarjetas ONU","Contratos ISP","Carácter","Campo base","","True","",""
"onu_mode","ONU mode","Contratos ISP","Selección","Campo base","","True","",""
"onuid","ONU-id","Contratos ISP","entero","Campo base","","True","True",""
"origin","Documento Origen","Contratos ISP","Carácter","Campo base","","True","True",""
"ote_id","Sector","Contratos ISP","many2one","Campo base","","True","","ote.ve.zone"
"ownership_type","Tipo de Domicilio","Contratos ISP","Selección","Campo base","","True","",""
"parent_id","Contrato padre","Contratos ISP","many2one","Campo base","","True","","contract.contract"
"partner_bank_id","Propietario cuenta","Contratos ISP","many2one","Campo base","","True","","res.partner"
"partner_contact_assigned_id","Comercial Externo","Contratos ISP","many2one","Campo base","","True","","res.partner"
"partner_id","Cliente","Contratos ISP","many2one","Campo base","","True","True","res.partner"
"password","Password","Contratos ISP","Carácter","Campo base","","True","",""
"password_pppoe","Contrasena PPPoe","Contratos ISP","Carácter","Campo base","","True","",""
"password_wam","Password","Contratos ISP","Carácter","Campo base","","True","",""
"payment_domain","Dominio","Contratos ISP","Carácter","Campo base","","","True",""
"payment_foreign_currency","Pago en divisas","Contratos ISP","booleano","Campo base","","True","",""
"payment_journal_id","Diario de pago","Contratos ISP","many2one","Campo base","","True","","account.journal"
"payment_journal_report","Diarios","Contratos ISP","Carácter","Campo base","","True","",""
"payment_promise_ids","Promesa Pago","Contratos ISP","one2many","Campo base","","True","","payment.promise"
"payment_promises_count","Conteo Ticket","Contratos ISP","entero","Campo base","","","True",""
"payment_ref","Memo","Contratos ISP","Carácter","Campo base","","True","",""
"payment_ref_gone","Referencias Bancaria","Contratos ISP","Carácter","Campo base","","True","",""
"payment_ref_igtf","Memo","Contratos ISP","Carácter","Campo base","","True","",""
"payment_selected_journal","Pago con diario beneficios","Contratos ISP","booleano","Campo base","","True","",""
"payment_type_code","Código forma de pago","Contratos ISP","Carácter","Campo base","","","True",""
"payment_type_id","Forma de Pago","Contratos ISP","many2one","Campo base","","True","","contract.type.payment"
"paymet_name","Numero de Pago","Contratos ISP","Carácter","Campo base","","True","",""
"phone","Teléfono","Contratos ISP","Carácter","Campo base","","True","",""
"plan_type_code","Código tipo de plan","Contratos ISP","Carácter","Campo base","","","True",""
"plan_type_id","Tipo de plan","Contratos ISP","many2one","Campo base","","True","True","contract.type.plan"
"port_nap","Puerto NAP","Contratos ISP","Selección","Campo base","","True","",""
"pppoe","PPPoe","Contratos ISP","Carácter","Campo base","","True","",""
"preinvoice_narration","Nota Interna Aviso de Cobro","Contratos ISP","Carácter","Campo base","","True","",""
"product_id","Producto Internet","Contratos ISP","many2one","Campo base","","True","True","product.product"
"products_paid","Productos Cobrados","Contratos ISP","Carácter","Campo base","","True","",""
"promise_end","Fecha de Finalizacion","Contratos ISP","fecha","Campo base","","True","",""
"promotion_active","Promoción Activa","Contratos ISP","booleano","Campo base","","True","True",""
"protocol_type","Protocol Type","Contratos ISP","Selección","Campo base","","True","",""
"public_ip_unique","IP Pùblica","Contratos ISP","Carácter","Campo base","","True","",""
"reception_channel_id","Canales de recepción","Contratos ISP","many2one","Campo base","","True","","contract.contract.reception_channel"
"recurring_interval","Facturar Cada","Contratos ISP","entero","Campo base","","True","True",""
"recurring_invoices","Facturación recurrente","Contratos ISP","booleano","Campo base","","True","",""
"recurring_invoicing_type","Tipo de facturación","Contratos ISP","Selección","Campo base","","True","True",""
"recurring_next_date","Fecha próxima factura","Contratos ISP","fecha","Campo base","","True","",""
"recurring_rule_type","Regla","Contratos ISP","Selección","Campo base","","True","True",""
"refer_count","Referidos","Contratos ISP","entero","Campo base","","","True",""
"referred_line_ids","Referidos","Contratos ISP","one2many","Campo base","","True","","referred.contact"
"renewal_history_count","Historial Renovaciones","Contratos ISP","entero","Campo base","","","True",""
"res_partner_bank_id","Cuenta bancaria","Contratos ISP","many2one","Campo base","","True","","res.partner.bank"
"restricted_access","Acceso Restringido","Contratos ISP","booleano","Campo base","","True","",""
"s_vlan","s-vlan","Contratos ISP","entero","Campo base","","True","",""
"sale_order_count","Conteo Ventas","Contratos ISP","entero","Campo base","","","True",""
"serial_antena","Serial Antena","Contratos ISP","many2one","Campo base","","True","True","stock.production.lot"
"serial_bridge","Serial Router","Contratos ISP","many2one","Campo base","","True","True","stock.production.lot"
"serial_onu","Serial ONU","Contratos ISP","many2one","Campo base","","True","True","stock.production.lot"
"serial_router_wifi","Serial Router Inal.","Contratos ISP","many2one","Campo base","","True","True","stock.production.lot"
"service_contract","Contrato de Servicio","Contratos ISP","binario","Campo base","","True","",""
"service_port","Service Port","Contratos ISP","Carácter","Campo base","","True","True",""
"service_port_mgn","Service Port Gestion","Contratos ISP","Carácter","Campo base","","True","True",""
"service_port_tr069","Service Port TR069","Contratos ISP","Carácter","Campo base","","True","True",""
"service_type","Service Type","Contratos ISP","Selección","Campo base","","True","",""
"show_stock_equipment_extra","¿Mostrear Equipos Extra?","Contratos ISP","booleano","Campo base","","","True",""
"signature","Firma","Contratos ISP","binario","Campo base","","True","",""
"splitter_id","Splitter Secundario","Contratos ISP","many2one","Campo base","","True","True","isp.splitter"
"sssid","SSID Name","Contratos ISP","Carácter","Campo base","","True","",""
"state","Estado CT","Contratos ISP","Selección","Campo base","","True","",""
"state_history_count","Historial Estado","Contratos ISP","entero","Campo base","","","True",""
"state_id","Estado","Contratos ISP","many2one","Campo base","","True","","res.country.state"
